time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
59240.229,5.519,61.2,14.165,1,498,1080,6.62,797,0,0,0
59253.286,1.909,61.2,0.000,0,498,1080,6.62,798,0,0,0
59272.723,4.643,61.2,13.824,1,498,1080,6.62,799,0,0,0
59286.939,2.192,61.2,0.000,0,498,1080,6.62,800,0,0,0
59305.259,3.845,61.2,12.438,1,498,1080,6.62,801,0,0,0
59319.543,1.461,61.2,0.000,0,498,1080,6.62,802,0,0,0
59337.963,3.215,61.2,10.631,1,498,1080,6.62,803,0,0,0
59355.150,3.735,61.2,0.000,0,498,1080,6.62,804,0,0,0
59373.676,5.593,61.2,30.280,1,498,1080,6.62,804,0,0,0
59385.922,1.171,61.2,0.000,0,498,1080,6.62,805,0,0,0
59405.729,4.311,61.2,27.113,1,498,1080,6.62,805,0,0,0
59419.524,1.438,61.2,0.000,0,498,1080,6.62,805,0,0,0
59438.981,4.228,57.1,11.124,1,498,1080,0.18,806,0,0,0
59452.529,1.107,57.1,0.000,0,498,1080,0.18,806,0,0,0
59472.133,4.044,57.1,0.000,0,498,1080,0.18,806,0,0,0
59487.965,3.208,57.1,9.308,1,498,1080,0.18,807,0,0,0
59503.204,1.780,57.1,0.000,0,498,1080,0.18,807,0,0,0
59522.109,4.017,57.1,11.369,1,498,1080,0.18,808,0,0,0
59535.762,1.003,57.1,0.000,0,498,1080,0.18,808,0,0,0
59554.137,2.710,57.1,10.050,1,498,1080,0.18,809,0,0,0
59569.629,1.491,57.1,0.000,0,498,1080,0.18,809,0,0,0
59587.671,2.864,57.1,9.401,1,498,1080,0.18,810,0,0,0
59603.452,1.978,57.1,0.000,0,498,1080,0.18,810,0,0,0
59622.450,4.307,57.1,11.472,1,498,1080,0.18,811,0,0,0
59636.562,1.752,57.1,0.000,0,498,1080,0.18,811,0,0,0
59655.885,4.407,57.1,10.933,1,498,1080,0.18,812,0,0,0
59669.925,1.780,57.1,0.000,0,498,1080,0.18,813,0,0,0
